Scattered erasure, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.811703;0.472307;0.472569
10500;0.83341;0.478255;0.476523
11025;0.847785;0.481614;0.489619
11576;0.875918;0.488503;0.490472
12154;0.875982;0.490897;0.486301
12760;0.889704;0.500381;0.503141
13396;0.904452;0.503449;0.507465
14063;0.914125;0.509569;0.506608
14763;0.924723;0.523556;0.513087
15498;0.9579;0.514659;0.519913
16269;0.950698;0.527592;0.520164
17078;0.957744;0.529931;0.529562
17927;0.972672;0.520209;0.531642
18818;0.989797;0.534498;0.535781
19753;0.966247;0.531468;0.538299
20734;1.00302;0.538833;0.545182
21764;1.02091;0.552075;0.539717
22845;1.00852;0.555881;0.549792
23980;1.05811;0.575873;0.548729
25171;1.02755;0.563735;0.558122
26421;1.02208;0.556496;0.549614
27733;1.05019;0.555985;0.55949
29110;1.0405;0.56986;0.561905
30555;1.05643;0.584118;0.568839
32072;1.0681;0.575822;0.568219
33664;1.07492;0.584625;0.568522
35335;1.04822;0.593189;0.571596
37089;1.08245;0.590415;0.571122
38930;1.08736;0.601829;0.57701
40863;1.10797;0.593474;0.576772
42892;1.10452;0.600128;0.57641
45022;1.11336;0.614872;0.579337
47258;1.12702;0.59892;0.580525
49605;1.10278;0.586228;0.584978
52069;1.11704;0.575582;0.589147
54656;1.13415;0.585258;0.587465
57372;1.11703;0.580892;0.596018
60223;1.12927;0.593468;0.595209
63216;1.1369;0.596612;0.596725
66358;1.13634;0.607864;0.590508
69657;1.15561;0.605606;0.58909
73120;1.15502;0.593092;0.597985
76756;1.18526;0.59519;0.609426
80573;1.17784;0.618679;0.616599
84580;1.16611;0.616705;0.599909
88787;1.17717;0.597145;0.610147
93204;1.19265;0.624101;0.604158
97841;1.20411;0.623251;0.607707
102709;1.23947;0.739503;0.72883
107820;1.35696;0.738254;0.75097
113186;1.37607;0.780146;0.786649
118820;1.45108;0.769786;0.817273
124735;1.47266;0.865399;0.894403
130945;1.59223;0.83727;0.880026
137465;1.56376;0.846519;0.912385
144311;1.61613;0.886688;0.96405
151499;1.62216;0.89528;0.972259
159046;1.61503;0.925482;1.02406
166970;1.69761;0.97264;1.03506
175290;1.7005;0.966601;1.10979
184026;1.76422;1.0178;1.11255
193198;1.74624;1.0415;1.17088
202828;1.84283;1.13124;1.31494
212939;1.88743;1.22805;1.3002
223555;1.93452;1.23831;1.35755
234701;2.07999;1.2563;1.43579
246404;2.10167;1.28931;1.48781
258692;2.01073;1.26769;1.41837
271594;2.15437;1.39841;1.47636
285141;2.25873;1.41177;1.48696
299365;2.14422;1.33092;1.19691
314300;2.14717;1.23022;1.32028
329981;2.03909;1.38717;1.29151
346446;2.05734;1.29573;1.53542
363734;2.19702;1.44017;1.44168
381886;2.44611;1.36133;1.54269
400945;2.28766;1.23281;1.378
420956;1.93284;1.24661;1.61527
441967;2.29817;1.30338;1.45851
464028;2.10871;1.24926;1.38487
487192;2.29017;1.25955;1.53337
511514;2.40721;1.3769;1.62107
537052;2.52234;1.41762;1.45613
563866;2.36828;1.38648;1.78445
592020;2.62555;1.52508;1.90854
621581;2.76331;1.55351;2.09027
652620;2.6881;1.65348;1.76979
685210;2.81751;1.79524;2.02013
719429;3.13088;1.73394;1.88169
755358;3.07611;1.89684;2.20384
793083;3.22717;1.73105;2.00339
832694;2.89594;1.77546;2.07163
874285;3.13816;1.69192;2.38966
917955;3.24057;1.76459;2.22382
963808;3.10732;1.74652;2.08844
1011953;3.12974;1.82126;2.36336
1062505;3.52858;1.93824;2.36967
1115584;3.39432;1.83649;2.29005
1171316;3.54086;1.97046;2.49363
1229834;3.71472;2.08753;2.56106
1291277;3.8511;2.09308;2.52272
1355792;3.77965;2.20105;2.60224
1423532;3.83965;2.1626;2.53701
1494659;3.84382;2.13403;2.59905
1569342;3.84575;2.22001;2.54312
1647759;3.59887;1.94348;2.73469
1730096;3.80162;1.79931;1.69048
1816549;3.34394;1.72642;2.28124
1907324;3.77425;1.88807;2.41244
2002637;3.67263;1.82328;2.23329
2102715;3.65112;1.8757;2.27036
2207796;3.89454;2.09166;2.62231
2318131;3.94854;2.11024;2.72107
2433982;4.00752;2.14746;2.57728
2555625;3.94944;2.18726;2.63096
2683350;4.23469;2.27378;2.80823
2817461;4.30626;2.26036;2.92658
2958277;4.29038;2.37807;2.9791
Scattered erasure, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.860947;0.500548;0.460997
10500;0.888265;0.504398;0.462955
11025;0.900693;0.5106;0.481192
11576;0.924771;0.527481;0.479652
12154;0.946255;0.520361;0.486225
12760;0.968635;0.544736;0.494439
13396;0.974996;0.558001;0.493679
14063;1.00604;0.57015;0.497359
14763;1.00571;0.584729;0.503244
15498;1.03855;0.558131;0.514927
16269;0.993233;0.552915;0.521398
17078;1.01385;0.572539;0.515287
17927;1.02794;0.581316;0.524709
18818;1.05409;0.591874;0.536192
19753;1.07006;0.604101;0.527983
20734;1.06988;0.60858;0.536388
21764;1.09149;0.609573;0.538849
22845;1.10793;0.640685;0.547748
23980;1.15422;0.653766;0.540018
25171;1.13695;0.662594;0.551935
26421;1.15219;0.679228;0.552357
27733;1.16344;0.694684;0.564152
29110;1.2196;0.705878;0.560253
30555;1.21634;0.732807;0.564595
32072;1.23516;0.616025;0.568808
33664;1.14461;0.627556;0.572219
35335;1.16796;0.624529;0.571878
37089;1.17938;0.628099;0.571204
38930;1.18597;0.652738;0.575677
40863;1.2348;0.645728;0.572284
42892;1.24266;0.6723;0.576469
45022;1.25257;0.668618;0.579597
47258;1.2687;0.677668;0.581306
49605;1.27618;0.709485;0.593121
52069;1.29277;0.71593;0.58732
54656;1.32998;0.725517;0.589258
57372;1.3507;0.736201;0.590631
60223;1.35937;0.758953;0.590132
63216;1.37245;0.666794;0.591942
66358;1.24428;0.685672;0.598777
69657;1.27684;0.696247;0.596649
73120;1.29428;0.688726;0.602251
76756;1.31897;0.713348;0.604382
80573;1.33452;0.721157;0.596188
84580;1.31982;0.735476;0.60696
88787;1.32375;0.739362;0.606967
93204;1.34656;0.759439;0.600659
97841;1.36482;0.768145;0.624262
102709;1.36682;0.774671;0.609919
107820;1.40433;0.808168;0.614026
113186;1.42502;0.829718;0.621378
118820;1.43406;0.806069;0.578717
124735;1.32543;0.675893;0.578964
130945;1.23249;0.67012;0.583642
137465;1.23383;0.690626;0.577801
144311;1.22727;0.687054;0.585289
151499;1.27835;0.695163;0.593754
159046;1.29271;0.70591;0.597497
166970;1.29082;0.711875;0.583866
175290;1.30467;0.729262;0.594879
184026;1.3138;0.748615;0.598788
193198;1.3413;0.790002;0.610672
202828;1.34546;0.819558;0.606311
212939;1.38184;0.810934;0.625155
223555;1.42618;0.827036;0.621463
234701;1.50615;0.855894;0.613341
246404;1.51356;0.845692;0.678969
258692;1.54871;0.83131;0.718574
271594;1.5258;0.947438;0.743512
285141;1.56501;0.907147;0.79369
299365;1.65625;0.991281;0.898771
314300;1.68177;1.07542;0.89355
329981;1.84212;1.11071;0.906947
346446;1.98214;1.10468;1.00033
363734;1.97155;1.24613;1.0055
381886;2.01404;1.37708;1.07534
400945;2.08293;1.3852;1.1223
420956;2.44196;1.46936;1.19377
441967;2.20933;1.55416;1.28524
464028;2.37572;1.59669;1.29753
487192;2.54825;1.6416;1.40662
511514;2.72415;1.68756;1.51761
537052;2.70995;1.76523;1.62178
563866;2.77327;1.84948;1.63419
592020;2.79606;1.94505;1.77639
621581;3.12367;2.01553;1.98741
652620;3.30237;2.01249;1.83725
685210;3.11528;2.15482;1.86303
719429;3.30846;2.20464;2.01969
755358;3.47514;2.38184;2.03403
793083;3.38909;2.37858;2.03693
832694;3.68176;2.40473;1.0818
874285;2.39192;1.37982;0.975984
917955;2.41037;1.48149;0.965739
963808;2.54134;1.54819;1.06647
1011953;2.79737;1.33479;1.08028
1062505;2.61393;1.37826;1.11775
1115584;2.60118;1.48577;1.1747
1171316;2.84014;1.49385;1.19377
1229834;2.7393;1.49456;1.19998
1291277;2.89035;1.54722;1.24421
1355792;2.92676;1.66435;1.6785
1423532;4.40598;2.81199;2.54544
1494659;4.41205;2.60992;2.56307
1569342;4.47214;2.83239;2.51517
1647759;4.53124;2.74931;2.47555
1730096;4.72743;2.83277;2.43348
1816549;4.66611;2.91994;2.44684
1907324;4.90427;3.09678;2.58828
2002637;4.9952;2.51049;2.70015
2102715;4.4825;2.61872;2.69193
2207796;4.58833;2.62831;2.68049
2318131;4.66358;2.72203;2.70203
2433982;4.62229;2.88575;2.04929
2555625;3.74165;1.89931;1.5314
2683350;3.74135;1.97721;1.5794
2817461;4.79383;2.67919;2.9605
2958277;5.1281;3.3168;3.06405
